address,categories,id,lat,long,name,neighborhood
27-49 Louisiana Ave NW (btw D St & New Jersey Ave NW),Monument / Landmark,4b3e2b92f964a520199925e3,38.89449049018151,-77.01053869451475,National Japanese American Memorial to Patriotism in WWII,Downtown East
401 F St NW (at 5th St. NW),Museum,4a1fec4af964a5203c7c1fe3,38.89771688560257,-77.01765401537368,National Building Museum,Downtown East
555 Pennsylvania Ave NW (at 6th St NW),Museum,4a451851f964a520c5a71fe3,38.893049,-77.019373,Newseum,Downtown East
300 Massachusetts Ave NW (at 4th & H St NW),Pizza Place,509db390e4b01b9e4932c44f,38.89960847505472,-77.01596260070801,Wiseguy NY Pizza,Downtown East
Check Twitter for current location,Food Truck,4cc8bed96fbc199cd4b0617d,38.89274231926768,-77.01923367935257,DC Empanadas,Downtown East
Constitution Ave NW (4th St. NW),Art Museum,4c5d85e6fff99c74dfe642d3,38.89126350936385,-77.0168058259602,National Gallery of Art - East Building,Downtown East
"20 Massachusetts Ave NW (North Capitol, NW)",Food Truck,4f049e09c512408c65d4a802,38.897608843814545,-77.00957793336131,Food Truck Alley,Downtown East
600 F St NW,Cocktail Bar,546d6c82498e1cad95af4a5e,38.89704716170255,-77.020106613636,Denson Liquor Bar,Downtown East
See Twitter for current location,Food Truck,4afc5c3df964a520e72122e3,38.894183153954046,-77.01523538277385,Curbside Cupcakes,Downtown East
601 Pennsylvania Ave NW,American Restaurant,4af4b677f964a52054f521e3,38.89295694991948,-77.02006727161813,The Capital Grille,Downtown East
705 6th St NW,Ramen Restaurant,50905502d63e87c2d3448e35,38.898537619341155,-77.01964259147644,Daikaya,Downtown East
501 G St NW (at 5th St NW),Ramen Restaurant,575b2c62498e538453bc141f,38.89845203368468,-77.01911687850952,Bantam King,Downtown East
610 F St NW (at 6th Street NW),Theater,4b6f2fc1f964a520e7e22ce3,38.89736406316925,-77.02036323283596,Shakespeare Theatre Company - Harman Hall,Downtown East
633 D St NW (at 7th St NW),Indian Restaurant,4a08bf4df964a52013741fe3,38.89491996979955,-77.02120900154114,Rasika,Downtown East
575 Pennsylvania Ave NW (at 6th St NW),Asian Restaurant,4a786995f964a5208ee51fe3,38.89353236380857,-77.01975677620976,The Source by Wolfgang Puck,Downtown East
check Twitter for current location,Food Truck,4fa2aacde4b0489ba3b8beac,38.89730927915426,-77.00870061140992,Pho Junkies,Downtown East
601 Pennsylvania Ave NW (at Indiana Ave NW),Italian Restaurant,4d9f8a00090da0937c28d9a8,38.893813554318534,-77.02072620391846,Fiola,Downtown East
1st St NW (btwn Pennsylvania Ave NW & Maryland Ave SW),Monument / Landmark,4bc4fdf20969a5931053636e,38.89003377111947,-77.01373950233408,Capitol Reflecting Pool,Downtown East
525 New Jersey Ave NW,Hotel,4ae8d01df964a52085b221e3,38.89681041600534,-77.01107406451123,Washington Court Hotel,Downtown East
650 F St NW (btwn 6th & 7th St NW),Coffee Shop,574d9a03cd10a7141a8a4cd3,38.89709934912315,-77.02104806900024,Compass Coffee,Downtown East
